,latitude,longitude,population_est
0,31.7683,35.2137,400000
1,31.529,35.094,160470
2,32.221,35.254,130326
3,32.312,35.027,44169
4,31.9,35.204,43880
5,32.19,34.971,43212
6,31.446,35.089,41425
7,31.91,35.206,38192
8,32.459,35.3,34730
9,31.705,35.203,29019
10,31.41,34.973,27616
11,31.85,35.234,24838
12,31.867,35.45,19783
13,31.515,35.163,19783
14,31.395,35.066,19355
15,32.411,35.282,19127
16,31.56,35.01,18727
17,31.583,35.14,17775
18,31.771,35.265,17455
19,32.22,35.284,17146
20,31.717,35.18,16183
21,32.484,35.23,16164
22,32.322,35.369,15591
23,31.701,35.226,14800
24,31.575,35.016,14000
25,32.446,35.183,13500
26,31.65,35.05,13000
27,31.889,35.17,12500
28,31.621,35.104,12300
29,31.81,35.258,12000
30,31.762,35.26,11900
31,32.083,35.18,10800
32,31.625,35.154,10700
33,32.154,35.256,10300
34,31.833,35.263,10200
35,31.979,35.266,10000
36,32.033,35.285,9500
37,32.174,35.059,9200
38,32.117,35.142,8800
39,32.113,35.075,8700
40,32.215,35.142,8300
41,32.2,35.036,8200
42,32.176,35.335,8100
43,32.141,35.264,8000
44,32.284,35.383,7900
45,32.405,35.202,7700
46,32.452,35.256,7600
47,32.505,35.21,7400
48,32.43,35.081,7300
49,32.476,35.1,7200
50,32.15,35.02,7000
