num_cities,time,qaoa_result,ground_states
4,2.4048172000038903,"   bitstring  fval  probability
0       1100  -4.0     0.106445
1       1010  -4.0     0.132812
2       0011  -4.0     0.108398
3       0110  -4.0     0.120117
4       1001  -4.0     0.126953
5       0101  -4.0     0.120117
6       1101  -3.8     0.070312
7       1011  -3.8     0.063477
8       1110  -3.8     0.074219
9       0111  -3.8     0.072266
10      1111   0.8     0.002930
11      0000   8.8     0.001953","  bitstring  fval  probability
0      1010  -4.0     0.132812
1      1001  -4.0     0.126953
2      0101  -4.0     0.120117
3      0110  -4.0     0.120117
4      0011  -4.0     0.108398
5      1100  -4.0     0.106445"
5,2.8706095999950776,"   bitstring  fval  probability
0      10001  -7.0     0.023438
1      00101  -7.0     0.022461
2      01001  -7.0     0.030273
3      00011  -6.0     0.353516
4      11000  -6.0     0.018555
5      10100  -6.0     0.011719
6      01100  -6.0     0.016602
7      10101  -5.6     0.018555
8      11001  -5.6     0.022461
9      01101  -5.6     0.011719
10     01010  -5.0     0.043945
11     10010  -5.0     0.029297
12     00110  -5.0     0.036133
13     01011  -4.6     0.043945
14     10011  -4.6     0.044922
15     00111  -4.6     0.056641
16     11100  -4.6     0.017578
17     11010  -3.6     0.019531
18     10110  -3.6     0.021484
19     01110  -3.6     0.023438
20     00001   0.4     0.019531
21     01000   1.4     0.024414
22     10000   1.4     0.031250
23     00100   1.4     0.031250
24     00010   2.4     0.005859
25     01111   5.6     0.002930
26     11011   5.6     0.005859
27     10111   5.6     0.002930
28     11110   6.6     0.006836
29     00000  17.6     0.001953
30     11111  24.6     0.000977","  bitstring  fval  probability
0     01001  -7.0     0.030273
1     10001  -7.0     0.023438
2     00101  -7.0     0.022461"
6,2.981784699994023,"   bitstring  fval  probability
0     100011 -12.0     0.001953
1     001110 -12.0     0.003906
2     010011 -12.0     0.003906
3     000111 -12.0     0.003906
4     101010 -12.0     0.002930
5     011010 -12.0     0.000977
6     001101 -11.0     0.126953
7     101001 -11.0     0.154297
8     011001 -11.0     0.139648
9     100110 -11.0     0.000977
10    110010 -11.0     0.000977
11    101011 -10.5     0.002930
12    001111 -10.5     0.002930
13    011011 -10.5     0.002930
14    110001 -10.0     0.039062
15    010101 -10.0     0.031250
16    111000 -10.0     0.023438
17    011100 -10.0     0.023438
18    100101 -10.0     0.023438
19    101100 -10.0     0.028320
20    101110  -9.5     0.011719
21    111010  -9.5     0.008789
22    110011  -9.5     0.007812
23    010111  -9.5     0.009766
24    011110  -9.5     0.003906
25    100111  -9.5     0.005859
26    110100  -9.0     0.018555
27    111001  -8.5     0.018555
28    110110  -8.5     0.004883
29    011101  -8.5     0.019531
30    101101  -8.5     0.016602
31    110101  -7.5     0.003906
32    111100  -7.5     0.003906
33    000011  -3.5     0.010742
34    001010  -3.5     0.007812
35    001001  -2.5     0.154297
36    010010  -2.5     0.003906
37    100010  -2.5     0.001953
38    011000  -1.5     0.005859
39    001100  -1.5     0.006836
40    101000  -1.5     0.003906
41    010001  -1.5     0.003906
42    000101  -1.5     0.005859
43    100001  -1.5     0.000977
44    110000  -0.5     0.002930
45    010100  -0.5     0.000977
46    100100  -0.5     0.000977
47    111011   3.0     0.002930
48    011111   3.0     0.001953
49    101111   3.0     0.000977
50    110111   4.0     0.005859
51    111110   4.0     0.001953
52    111101   5.0     0.009766
53    000010  17.0     0.004883
54    001000  18.0     0.002930
55    000001  18.0     0.003906
56    000000  49.5     0.001953","  bitstring  fval  probability
0    001110 -12.0     0.003906
1    010011 -12.0     0.003906
2    000111 -12.0     0.003906
3    101010 -12.0     0.002930
4    100011 -12.0     0.001953
5    011010 -12.0     0.000977"
7,4.694556699992972,"    bitstring  fval  probability
0     1010100 -13.0     0.016602
1     1000110 -13.0     0.016602
2     0110100 -13.0     0.011719
3     0010110 -13.0     0.012695
4     1100100 -13.0     0.007812
..        ...   ...          ...
103   1110111  25.5     0.001953
104   1011111  26.5     0.000977
105   1111011  27.5     0.023438
106   0000000  49.5     0.000977
107   1111111  61.0     0.000977

[108 rows x 3 columns]","  bitstring  fval  probability
0   1010100 -13.0     0.016602
1   1000110 -13.0     0.016602
2   0010110 -13.0     0.012695
3   0110100 -13.0     0.011719
4   0100110 -13.0     0.010742
5   1100100 -13.0     0.007812"
8,6.266110099997604,"    bitstring   fval  probability
0    10001101  -22.0     0.002930
1    11001001  -22.0     0.001953
2    00101101  -22.0     0.007812
3    01101001  -22.0     0.002930
4    10101001  -22.0     0.000977
..        ...    ...          ...
168  00100000   54.4     0.000977
169  00000100   54.4     0.001953
170  00000010   56.4     0.003906
171  11111111   67.6     0.000977
172  00000000  105.6     0.001953

[173 rows x 3 columns]","  bitstring  fval  probability
0  00101101 -22.0     0.007812
1  10001101 -22.0     0.002930
2  01101001 -22.0     0.002930
3  11001001 -22.0     0.001953
4  10101001 -22.0     0.000977
5  01001101 -22.0     0.000977"
9,5.912143699999433,"     bitstring   fval  probability
0    101010010  -23.0     0.008789
1    001011010  -23.0     0.011719
2    011010010  -23.0     0.007812
3    111000010  -22.0     0.006836
4    001110010  -22.0     0.034180
..         ...    ...          ...
280  111111110   65.6     0.000977
281  111011111   66.6     0.000977
282  011111111   67.6     0.000977
283  000000000  105.6     0.001953
284  111111111  122.0     0.000977

[285 rows x 3 columns]","   bitstring  fval  probability
0  001011010 -23.0     0.011719
1  101010010 -23.0     0.008789
2  011010010 -23.0     0.007812"
10,8.102047799999127,"      bitstring  fval  probability
0    1000110101 -31.0     0.001953
1    0100110101 -31.0     0.001953
2    1100110100 -31.0     0.002930
3    0110110100 -31.0     0.000977
4    0010110101 -31.0     0.000977
..          ...   ...          ...
276  0101111111  27.3     0.000977
277  0111111110  27.3     0.000977
278  1010000000  57.3     0.000977
279  0001001000  61.3     0.012695
280  1111110111  73.2     0.000977

[281 rows x 3 columns]","    bitstring  fval  probability
0  1100110100 -31.0     0.002930
1  1000110101 -31.0     0.001953
2  0100110101 -31.0     0.001953
3  0110110100 -31.0     0.000977
4  0010110101 -31.0     0.000977"
11,10.856635000003735,"      bitstring  fval  probability
0   11001001010 -34.0     0.193359
1   01101001010 -34.0     0.224609
2   01001011010 -33.0     0.005859
3   01001101010 -33.0     0.005859
4   11101000010 -33.0     0.000977
5   11101001010 -32.3     0.439453
6   01001001011 -32.0     0.003906
7   01011001010 -32.0     0.000977
8   11001101000 -32.0     0.000977
9   01101101010 -31.3     0.010742
10  01101011010 -31.3     0.014648
11  11001101010 -31.3     0.013672
12  11001011010 -31.3     0.008789
13  11011001000 -31.0     0.000977
14  01111000010 -31.0     0.000977
15  01111001010 -30.3     0.006836
16  01101001011 -30.3     0.003906
17  11011001010 -30.3     0.000977
18  11001001011 -30.3     0.001953
19  11101100010 -30.3     0.000977
20  10101011010 -30.3     0.000977
21  11100011010 -30.3     0.000977
22  11001001110 -29.3     0.002930
23  11111000010 -29.3     0.000977
24  11101001001 -29.3     0.000977
25  10111001010 -29.3     0.000977
26  01011011010 -29.3     0.000977
27  11111001000 -29.3     0.000977
28  01101001110 -29.3     0.000977
29  11101001100 -28.3     0.000977
30  01101100011 -28.3     0.000977
31  11101000110 -28.3     0.000977
32  01001001010 -20.3     0.005859
33  11100001000 -18.3     0.000977
34  11100000010 -18.3     0.001953
35  11101101010 -14.2     0.003906
36  11101011010 -14.2     0.004883
37  01101111010 -13.2     0.000977
38  11101001011 -13.2     0.000977
39  11101001110 -12.2     0.024414
40  10101000000  11.8     0.000977
41  11101011011  20.3     0.000977","     bitstring  fval  probability
0  01101001010 -34.0     0.224609
1  11001001010 -34.0     0.193359"
12,14.837220600005821,"        bitstring   fval  probability
0    111010010100  -46.0     0.000977
1    011010010101  -46.0     0.000977
2    101010010101  -45.0     0.000977
3    110010110100  -44.0     0.003906
4    011011010100  -44.0     0.002930
..            ...    ...          ...
513  111101111011   82.8     0.000977
514  101111111011   82.8     0.001953
515  000000010100  124.8     0.000977
516  101000000000  126.8     0.000977
517  010000100000  127.8     0.000977

[518 rows x 3 columns]","      bitstring  fval  probability
0  111010010100 -46.0     0.000977
1  011010010101 -46.0     0.000977"
13,21.003582500008633,"         bitstring   fval  probability
0    1110100000011  -46.0     0.000977
1    0000101101011  -46.0     0.000977
2    1110100100100  -45.0     0.000977
3    0000111101010  -45.0     0.000977
4    0100111101000  -45.0     0.000977
..             ...    ...          ...
407  0011111111011   93.4     0.000977
408  1110011110111   95.4     0.000977
409  0011111111101   97.4     0.000977
410  1001000000000  146.4     0.000977
411  0111111111101  178.5     0.000977

[412 rows x 3 columns]","       bitstring  fval  probability
0  1110100000011 -46.0     0.000977
1  0000101101011 -46.0     0.000977"
